listing_id,dealer_id,listing_title,listing_price,listing_location,listing_url,detail_date_posted,detail_make,detail_model,detail_year,detail_status,detail_color,detail_transmission,detail_mileage,detail_coding,detail_features,price_and_payment_terms,negotiation_and_test_drive,additional_services,complete_listing_description,detail_price
prd-854861,300360,Toyota Hilux G 4x2 2020 A/T,"  ₱1,048,000                 "," Metro Manila, Quezon City
            ",/toyota-hilux-2-4-g-dsl-4x2-a-t-for-sale-in-quezon-city/g-4x2-2020-at-aid8548612,Posted on 20/08/2024,Toyota,Hilux,2020,Used,Silver,Automatic,"28,800km",5/6 - Wednesday,,"{'Total price': '₱ 1,048,000'}","['', 'Negotiable', '']",[],First owned No assumed balance Good running condition Automatic tranny See to appreciate 09171728702,"₱ 1,048,000"
prd-854847,300360,2023 Toyota Hiace Commuter 3.0 Manual 265k DP ALL IN,"  ₱1,238,000                 "," Metro Manila, Quezon City
            ",/toyota-hiace-commuter-3-0-m-t-for-sale-in-quezon-city/2023-commuter-30-manual-265k-dp-all-in-aid8548472,Posted on 20/08/2024,Toyota,Hiace,2023,Used,White,Manual,"11,200km",3/4 - Tuesday,,"{'Downpayment': '₱ 265,000', 'Terms (Months)': '48 ', 'Monthly payment': '₱ 35,141'}","['', 'Negotiable', '', 'Test drive available', '']","['Financing', 'Warranty', 'Trade in', 'Insurance', 'Free transfer of ownership']","For Sale! Cash: 1,238M DP: 265k ALL IN 48mos: 35,141  2023 Toyota Hiace Commuter 3.0 Manual Diesel Freedom White 11,200kms  Nelson Estacio 0️⃣9️⃣1️⃣7️⃣6️⃣7️⃣5️⃣0️⃣6️⃣0️⃣3️⃣ 0️⃣9️⃣9️⃣8️⃣9️⃣5️⃣9️⃣1️⃣3️⃣0️⃣3️⃣","₱ 1,238,000"
prd-854838,300360,2017 Honda City 1.5 E CVT 55k DP ALL IN,"  ₱425,000                 "," Metro Manila, Quezon City
            ",/honda-city-1-5-e-cvt-for-sale-in-quezon-city/2017-15-e-cvt-55k-dp-all-in-aid8548382,Posted on 20/08/2024,Honda,City,2017,Used,Grey,Automatic,"55,000km",5/6 - Wednesday,,"{'Downpayment': '₱ 55,000', 'Terms (Months)': '48 ', 'Monthly payment': '₱ 14,476'}","['', 'Negotiable', '', 'Test drive available', '']","['Financing', 'Warranty', 'Trade in', 'Insurance', 'Free transfer of ownership']","For Sale! Cash: 425k DP: 55k ALL IN 48mos: 14,476  2017 Honda City 1.5 E CVT Gray Metallic 55k kms  Nelson Estacio 0️⃣9️⃣1️⃣7️⃣6️⃣7️⃣5️⃣0️⃣6️⃣0️⃣3️⃣ 0️⃣9️⃣9️⃣8️⃣9️⃣5️⃣9️⃣1️⃣3️⃣0️⃣3️⃣","₱ 425,000"
prd-854850,317391,HOT!!! 2023 Mitsubishi Mirage GLX for sale at affordable price,"  ₱545,000                 "," Metro Manila, Manila
            ",/mitsubishi-mirage-glx-1-2-cvt-for-sale-in-manila/hot-2023-glx-for-sale-at-affordable-price-aid8548502,Posted on 20/08/2024,Mitsubishi,Mirage,2023,Used,Other,Automatic,"8,000km",7/8 - Thursday,,"{'Total price': '₱ 545,000'}","['', 'Negotiable', '', 'Test drive available', '']",[],"2023 Mirage GLX Sedan Automatic , Gasoline Engine  8k kms only Good as Brand New All Original Paint 2 Din Touch Screen Head Unit 2 original keys Tires 95% Thickness Php 545,000 nego upon viewing  Financing Details: All in Downpayment 160k Monthly 12 40,606.00 24 23,665.00 36 17,070.00 48 13,894.00 60 12,155.00  📍Guagua Pampanga","₱ 545,000"
prd-854861,300360,Toyota Hilux G 4x2 2020 A/T,"  ₱1,048,000                 "," Metro Manila, Quezon City
            ",/toyota-hilux-2-4-g-dsl-4x2-a-t-for-sale-in-quezon-city/g-4x2-2020-at-aid8548612,Posted on 20/08/2024,Toyota,Hilux,2020,Used,Silver,Automatic,"28,800km",5/6 - Wednesday,,"{'Total price': '₱ 1,048,000'}","['', 'Negotiable', '']",[],First owned No assumed balance Good running condition Automatic tranny See to appreciate 09171728702,"₱ 1,048,000"
prd-854847,300360,2023 Toyota Hiace Commuter 3.0 Manual 265k DP ALL IN,"  ₱1,238,000                 "," Metro Manila, Quezon City
            ",/toyota-hiace-commuter-3-0-m-t-for-sale-in-quezon-city/2023-commuter-30-manual-265k-dp-all-in-aid8548472,Posted on 20/08/2024,Toyota,Hiace,2023,Used,White,Manual,"11,200km",3/4 - Tuesday,,"{'Downpayment': '₱ 265,000', 'Terms (Months)': '48 ', 'Monthly payment': '₱ 35,141'}","['', 'Negotiable', '', 'Test drive available', '']","['Financing', 'Warranty', 'Trade in', 'Insurance', 'Free transfer of ownership']","For Sale! Cash: 1,238M DP: 265k ALL IN 48mos: 35,141  2023 Toyota Hiace Commuter 3.0 Manual Diesel Freedom White 11,200kms  Nelson Estacio 0️⃣9️⃣1️⃣7️⃣6️⃣7️⃣5️⃣0️⃣6️⃣0️⃣3️⃣ 0️⃣9️⃣9️⃣8️⃣9️⃣5️⃣9️⃣1️⃣3️⃣0️⃣3️⃣","₱ 1,238,000"
prd-854838,300360,2017 Honda City 1.5 E CVT 55k DP ALL IN,"  ₱425,000                 "," Metro Manila, Quezon City
            ",/honda-city-1-5-e-cvt-for-sale-in-quezon-city/2017-15-e-cvt-55k-dp-all-in-aid8548382,Posted on 20/08/2024,Honda,City,2017,Used,Grey,Automatic,"55,000km",5/6 - Wednesday,,"{'Downpayment': '₱ 55,000', 'Terms (Months)': '48 ', 'Monthly payment': '₱ 14,476'}","['', 'Negotiable', '', 'Test drive available', '']","['Financing', 'Warranty', 'Trade in', 'Insurance', 'Free transfer of ownership']","For Sale! Cash: 425k DP: 55k ALL IN 48mos: 14,476  2017 Honda City 1.5 E CVT Gray Metallic 55k kms  Nelson Estacio 0️⃣9️⃣1️⃣7️⃣6️⃣7️⃣5️⃣0️⃣6️⃣0️⃣3️⃣ 0️⃣9️⃣9️⃣8️⃣9️⃣5️⃣9️⃣1️⃣3️⃣0️⃣3️⃣","₱ 425,000"
prd-854850,317391,HOT!!! 2023 Mitsubishi Mirage GLX for sale at affordable price,"  ₱545,000                 "," Metro Manila, Manila
            ",/mitsubishi-mirage-glx-1-2-cvt-for-sale-in-manila/hot-2023-glx-for-sale-at-affordable-price-aid8548502,Posted on 20/08/2024,Mitsubishi,Mirage,2023,Used,Other,Automatic,"8,000km",7/8 - Thursday,,"{'Total price': '₱ 545,000'}","['', 'Negotiable', '', 'Test drive available', '']",[],"2023 Mirage GLX Sedan Automatic , Gasoline Engine  8k kms only Good as Brand New All Original Paint 2 Din Touch Screen Head Unit 2 original keys Tires 95% Thickness Php 545,000 nego upon viewing  Financing Details: All in Downpayment 160k Monthly 12 40,606.00 24 23,665.00 36 17,070.00 48 13,894.00 60 12,155.00  📍Guagua Pampanga","₱ 545,000"
